YEAR,MONTH,DAY,DESCRIPTION
2013,1,1,New Years
2013,1,21,Martin Luther King Jr Day
2013,2,18,President's Day
2013,5,27,Memorial Day
2013,7,4,Independence Day 
2013,9,2,Labor Day
2013,10,14,Columbus Day
2013,11,11,Veterans Day
2013,11,28,Thanksgiving Day
2013,11,29,Day after Thanksgiving
2013,12,24,Christmas Eve
2013,12,25,Christmas Day
2014,1,1,New Years
2014,1,20,Martin Luther King Jr Day
2014,2,17,President's Day
2014,5,26,Memorial Day
2014,7,4,Independence Day 
2014,9,1,Labor Day
2014,10,13,Columbus Day
2014,11,11,Veterans Day
2014,11,27,Thanksgiving Day
2014,11,28,Day after Thanksgiving
2014,12,24,Christmas Eve
2014,12,25,Christmas Day
2015,1,1,New Years
2015,1,19,Martin Luther King Jr Day
2015,2,16,President's Day
2015,5,25,Memorial Day
2015,7,3,Independence Day (in leiu)
2015,7,4,Independence Day 
2015,9,7,Labor Day
2015,10,12,Columbus Day
2015,11,11,Veterans Day
2015,11,26,Thanksgiving Day
2015,11,27,Day after Thanksgiving
2015,12,24,Christmas Eve
2015,12,25,Christmas Day
2016,1,1,New Years
2016,1,18,Martin Luther King Jr Day
2016,2,15,President's Day
2016,5,30,Memorial Day
2016,7,4,Independence Day 
2016,9,5,Labor Day
2016,10,10,Columbus Day
2016,11,11,Veterans Day
2016,11,24,Thanksgiving Day
2016,11,25,Day after Thanksgiving
2016,12,24,Christmas Eve
2016,12,25,Christmas Day
2016,12,26,Christmas Day (observed)
2017,1,1,New Years
2017,1,16,Martin Luther King Jr Day
2017,2,20,President's Day
2017,5,29,Memorial Day
2017,7,4,Independence Day 
2017,9,4,Labor Day
2017,10,9,Columbus Day
2017,11,10,Veterans Day (observed)
2017,11,11,Veterans Day
2017,11,26,Thanksgiving Day
2017,11,27,Day after Thanksgiving
2017,12,24,Christmas Eve
2017,12,25,Christmas Day
2018,1,1,New Years
2018,1,15,Martin Luther King Jr Day
2018,2,19,President's Day
2018,5,28,Memorial Day
2018,7,4,Independence Day 
2018,9,3,Labor Day
2018,10,8,Columbus Day
2018,11,11,Veterans Day
2018,11,12,Veterans Day (observed)
2018,11,22,Thanksgiving Day
2018,11,23,Day after Thanksgiving
2018,12,24,Christmas Eve
2018,12,25,Christmas Day
2019,1,1,New Years
2019,1,21,Martin Luther King Jr Day
2019,2,18,President's Day
2019,5,27,Memorial Day
2019,7,4,Independence Day 
2019,9,2,Labor Day
2019,10,14,Columbus Day
2019,11,11,Veterans Day
2019,11,28,Thanksgiving Day
2019,11,29,Day after Thanksgiving
2019,12,24,Christmas Eve
2019,12,25,Christmas Day
2020,1,1,New Years
2020,1,20,Martin Luther King Jr Day
2020,2,17,President's Day
2020,5,25,Memorial Day
2020,7,4,Independence Day
2020,9,7,Labor Day
2020,10,12,Columbus Day
2020,11,11,Veterans Day
2020,11,26,Thanksgiving Day
2020,11,27,Day after Thanksgiving
2020,12,24,Christmas Eve
2020,12,25,Christmas Day
2021,1,1,New Years
2021,1,18,Martin Luther King Jr Day
2021,2,15,President's Day
2021,5,31,Memorial Day
2021,7,4,Independence Day
2021,9,6,Labor Day
2021,10,11,Columbus Day
2021,11,11,Veterans Day
2021,11,25,Thanksgiving Day
2021,11,26,Day after Thanksgiving
2021,12,24,Christmas Eve
2021,12,25,Christmas Day
2022,1,1,New Years
2022,1,17,Martin Luther King Jr Day
2022,2,21,President's Day
2022,5,30,Memorial Day
2022,7,4,Independence Day
2022,9,5,Labor Day
2022,10,10,Columbus Day
2022,11,11,Veterans Day
2022,11,24,Thanksgiving Day
2022,11,25,Day after Thanksgiving
2022,12,24,Christmas Eve
2022,12,25,Christmas Day
2023,1,1,New Years
2023,1,16,Martin Luther King Jr Day
2023,2,20,President's Day
2023,5,29,Memorial Day
2023,7,4,Independence Day
2023,9,4,Labor Day
2023,10,9,Columbus Day
2023,11,11,Veterans Day
2023,11,23,Thanksgiving Day
2023,11,24,Day after Thanksgiving
2023,12,24,Christmas Eve
2023,12,25,Christmas Day
2024,1,1,New Years
2024,1,15,Martin Luther King Jr Day
2024,2,19,President's Day
2024,5,27,Memorial Day
2024,7,4,Independence Day
2024,9,2,Labor Day
2024,10,14,Columbus Day
2024,11,11,Veterans Day
2024,11,28,Thanksgiving Day
2024,11,29,Day after Thanksgiving
2024,12,24,Christmas Eve
2024,12,25,Christmas Day
